"","tot_abun","YearCont","Year","Ecoregion_NARS","PropID","AreaSampTot_m2","Agency","Gen_ID_Prop","SiteNumber","landuse","Latitude_dd","Longitude_dd"
"1",135.9673,12.4547945205479,12,"TPL",1,1.022,"EPA",0.885350318471338,"IAW02344-0096","Agriculture",41.950878,-94.089731
"2",296.3896,12.5424657534247,12,"TPL",1,1.022,"EPA",0.841666666666667,"IAW02344-0096","Agriculture",41.950878,-94.089731
"3",28.3676,12.5780821917808,12,"TPL",1,1.022,"EPA",0.852941176470588,"IAW02344-0097","Agriculture",41.332723,-95.400885
"4",274.8693,12.7808219178082,12,"TPL",1,1.022,"EPA",0.796610169491525,"IAW02344-0097","Agriculture",41.332723,-95.400885
"5",1995.4905,12.627397260274,12,"TPL",0.2,1.022,"EPA",0.836065573770492,"IAW02344-0099","Agriculture",42.537422,-94.33916
"6",153.5748,12.7643835616438,12,"TPL",1,1.022,"EPA",0.835106382978723,"IAW02344-0099","Agriculture",42.537422,-94.33916
"7",74.342,12.7698630136986,12,"TPL",1,1.022,"EPA",0.873563218390805,"IAW02344-0102","Agriculture",42.993331,-92.379581
"8",372.2494,12.4767123287671,12,"TPL",0.833,1.022,"EPA",0.670886075949367,"IAW02344-0103","Agriculture",43.079063,-96.40991
"9",734.3708,12.5205479452055,12,"TPL",0.333,1.022,"EPA",0.539614561027837,"IAW02344-0104","Agriculture",42.446393,-95.541019
"10",172.1601,12.4986301369863,12,"TPL",1,1.022,"EPA",0.712550607287449,"IAW02344-0105","Agriculture",41.367449,-95.688846
"11",206.3967,12.5917808219178,12,"TPL",1,1.022,"EPA",0.897872340425532,"IAW02344-0108","Agriculture",41.772331,-90.441038
"12",27.3892,12.4794520547945,12,"TPL",1,1.022,"EPA",0.736842105263158,"IAW02344-0113","Agriculture",42.651073,-95.997976
"13",62.6037,12.4931506849315,12,"TPL",1,1.022,"EPA",0.474074074074074,"IAW02344-0114","Agriculture",40.666649,-94.26257
"14",296.3893,12.5397260273973,12,"TPL",1,1.022,"EPA",0.723150357995227,"IAW02344-0118","Agriculture",42.049414,-90.92558
"15",129.1203,12.7013698630137,12,"TPL",1,1.022,"EPA",0.852564102564103,"IAW02344-0119","Agriculture",41.922856,-95.840388
"16",963.4946,12.5698630136986,12,"TPL",0.333,1.022,"EPA",0.616541353383459,"IAW02344-0120","Agriculture",42.549931,-95.224388
"17",138.902,12.5506849315068,12,"TPL",1,1.022,"EPA",0.657407407407407,"IAW02344-0121","Agriculture",43.433471,-93.797331
"18",47.9311,12.5753424657534,12,"TPL",1,1.022,"EPA",0.98,"IAW02344-0122","Agriculture",42.814675,-96.16457
"19",979.16,12.5342465753425,12,"TPL",0.6,0.929,"EPA",0.90547263681592,"IAW02344-0125","Agriculture",41.477807,-91.020575
"20",283.673,12.4630136986301,12,"TPL",0.4,1.022,"EPA",0.311827956989247,"IAW02344-0128","Agriculture",41.972987,-95.0169
"21",66.5166,12.4767123287671,12,"TPL",1,1.022,"EPA",0.527131782945736,"IAW02344-0130","Agriculture",42.65657,-96.36816
"22",2997.9458,12.5561643835616,12,"TPL",0.108,1.022,"EPA",0.688796680497925,"IAW02344-0132","Agriculture",42.826805,-93.836982
"23",5717.3039,12.5945205479452,12,"UMW",0.058,1.022,"EPA",0.826829268292683,"IAW02344-0133","Agriculture",42.756847,-91.563138
"24",109.5566,12.6164383561644,12,"TPL",1,1.022,"EPA",0.973913043478261,"IAW02344-0134","Agriculture",40.85884,-92.495502
"25",978.1814,12.558904109589,12,"TPL",0.267,1.022,"EPA",0.767241379310345,"IAW02344-0135","Agriculture",43.135349,-93.30084
"26",0.9782,12.4821917808219,12,"TPL",1,1.022,"EPA",0.333333333333333,"IAW02344-0250","Agriculture",42.868822,-94.735492
"27",3990.9818,12.772602739726,12,"TPL",0.1,1.022,"EPA",0.829614604462475,"IAW02344-IA01","Agriculture",43.276736,-93.353791
"28",903.6324,12.7150684931507,12,"TPL",0.433,1.022,"EPA",0.820040899795501,"IAW02344-IA02","Agriculture",42.329157,-91.981954
"29",1418.3632,12.8630136986301,12,"TPL",0.2,1.022,"EPA",0.480132450331126,"IAW02344-IA04","Agriculture",42.902773,-93.262418
"30",5047.4177,12.7123287671233,12,"UMW",0.075,1.022,"EPA",0.88558352402746,"IAW02344-IA07","Forest_Wetland",43.377213,-91.397228
"31",2440.5632,12.786301369863,12,"NAP",0.2,1.022,"EPA",0.836363636363636,"NEWS04-0305","Forest_Wetland",46.8218,-69.717
"32",3208.4361,12.7095890410959,12,"NAP",0.1,1.022,"EPA",0.635658914728682,"NEWS04-1105","Forest_Wetland",45.37608,-70.75558
"33",195.6365,12.7013698630137,12,"NAP",1,1.022,"EPA",0.862068965517241,"NEWS04-1106","Forest_Wetland",45.02828,-71.28039
"34",690.5969,12.7150684931507,12,"NAP",0.5,1.022,"EPA",0.725409836065574,"NEWS04-1202","Forest_Wetland",45.1809,-70.01658
"35",2419.7145,12.7205479452055,12,"NAP",0.133,1.022,"EPA",0.691823899371069,"NEWS04-1302","Forest_Wetland",45.29801,-68.8517
"36",2023.5347,12.7260273972603,12,"NAP",0.233,1.022,"EPA",0.94140625,"NEWS04-1410","Forest_Wetland",45.45344,-68.09774
"37",1205.61,12.6356164383562,12,"NAP",0.4,1.022,"EPA",0.89799635701275,"NEWS04-1801","Forest_Wetland",44.5808,-72.0714
"38",822.1862,12.6986301369863,12,"NAP",0.533,1.022,"EPA",0.885375494071146,"NEWS04-1801","Forest_Wetland",44.58082,-72.07137
"39",1285.9241,12.7068493150685,12,"NAP",0.267,1.022,"EPA",0.673704414587332,"NEWS04-1903","Forest_Wetland",44.5631,-70.8574
"40",1564.3576,12.7232876712329,12,"NAP",0.267,1.022,"EPA",0.793680297397769,"NEWS04-2101","Forest_Wetland",44.77489,-68.39244
"41",3942.0724,12.6164383561644,12,"NAP",0.1,1.022,"EPA",0.825819672131147,"NEWS04-2502","Forest_Wetland",43.7479,-71.1469
"42",4587.6726,12.6246575342466,12,"NAP",0.1,1.022,"EPA",0.843525179856115,"NEWS04-2805","Forest_Wetland",43.2611,-73.0884
"43",988.8425,12.5561643835616,12,"NAP",0.367,1.022,"EPA",0.751012145748988,"NEWS04-2907","Forest_Wetland",43.1519,-72.3491
"44",2870.1147,12.558904109589,12,"NAP",0.167,1.022,"EPA",0.830795262267343,"NEWS04-3206","Forest_Wetland",42.5346,-72.5282
"45",634.1876,12.6082191780822,12,"NAP",0.6,1.022,"EPA",0.776447105788423,"NEWS04-3406","Urban",42.8474,-71.3463
