"","alpha","Ecoregion_NARS","Year","PropID","AreaSampTot_m2","Agency","Gen_ID_Prop","SiteNumber"
"1",40,"TPL",12,0.2,1.022,"EPA",0.836065573770492,"IAW02344-0099"
"2",21,"TPL",12,0.833,1.022,"EPA",0.670886075949367,"IAW02344-0103"
"3",24,"TPL",12,0.333,1.022,"EPA",0.539614561027837,"IAW02344-0104"
"4",25,"TPL",12,1,1.022,"EPA",0.723150357995227,"IAW02344-0118"
"5",32,"TPL",12,0.333,1.022,"EPA",0.616541353383459,"IAW02344-0120"
"6",33,"TPL",12,0.6,0.929,"EPA",0.90547263681592,"IAW02344-0125"
"7",11,"TPL",12,0.4,1.022,"EPA",0.311827956989247,"IAW02344-0128"
"8",27,"TPL",12,0.108,1.022,"EPA",0.688796680497925,"IAW02344-0132"
"9",26,"UMW",12,0.058,1.022,"EPA",0.826829268292683,"IAW02344-0133"
"10",30,"TPL",12,0.267,1.022,"EPA",0.767241379310345,"IAW02344-0135"
"11",27,"TPL",12,0.1,1.022,"EPA",0.829614604462475,"IAW02344-IA01"
"12",38,"TPL",12,0.433,1.022,"EPA",0.820040899795501,"IAW02344-IA02"
"13",36,"TPL",12,0.2,1.022,"EPA",0.480132450331126,"IAW02344-IA04"
"14",26,"UMW",12,0.075,1.022,"EPA",0.88558352402746,"IAW02344-IA07"
"15",34,"NAP",12,0.05,1.022,"EPA",0.88141592920354,"NEWS04-0203"
"16",46,"NAP",12,0.2,1.022,"EPA",0.836363636363636,"NEWS04-0305"
"17",42,"NAP",12,0.1,1.022,"EPA",0.635658914728682,"NEWS04-1105"
"18",45,"NAP",12,0.5,1.022,"EPA",0.725409836065574,"NEWS04-1202"
"19",42,"NAP",12,0.133,1.022,"EPA",0.691823899371069,"NEWS04-1302"
"20",29,"NAP",12,0.233,1.022,"EPA",0.94140625,"NEWS04-1410"
"21",54,"NAP",12,0.4,1.022,"EPA",0.89799635701275,"NEWS04-1801"
"22",32,"NAP",12,0.267,1.022,"EPA",0.673704414587332,"NEWS04-1903"
"23",48,"NAP",12,0.267,1.022,"EPA",0.793680297397769,"NEWS04-2101"
