"","tot_abun","YearCont","Ecoregion_NARS","PropID","AreaSampTot_m2","Agency","SiteNumber"
"1",153.5746,12.4547945205479,"TPL",1,1.022,"EPA","IAW02344-0096"
"2",352.146,12.5424657534247,"TPL",1,1.022,"EPA","IAW02344-0096"
"3",33.2586,12.5780821917808,"TPL",1,1.022,"EPA","IAW02344-0097"
"4",346.2767,12.7808219178082,"TPL",1,1.022,"EPA","IAW02344-0097"
"5",2386.7631,12.627397260274,"TPL",0.2,1.022,"EPA","IAW02344-0099"
"6",183.8984,12.7643835616438,"TPL",1,1.022,"EPA","IAW02344-0099"
"7",85.102,12.7698630136986,"TPL",1,1.022,"EPA","IAW02344-0102"
"8",556.6127,12.4767123287671,"TPL",0.833,1.022,"EPA","IAW02344-0103"
"9",1371.8046,12.5205479452055,"TPL",0.333,1.022,"EPA","IAW02344-0104"
"10",241.611,12.4986301369863,"TPL",1,1.022,"EPA","IAW02344-0105"
"11",229.8732,12.5917808219178,"TPL",1,1.022,"EPA","IAW02344-0108"
"12",37.171,12.4794520547945,"TPL",1,1.022,"EPA","IAW02344-0113"
"13",132.0546,12.4931506849315,"TPL",1,1.022,"EPA","IAW02344-0114"
"14",409.8584,12.5397260273973,"TPL",1,1.022,"EPA","IAW02344-0118"
"15",152.5967,12.7013698630137,"TPL",1,1.022,"EPA","IAW02344-0119"
"16",1562.7411,12.5698630136986,"TPL",0.333,1.022,"EPA","IAW02344-0120"
"17",211.2874,12.5506849315068,"TPL",1,1.022,"EPA","IAW02344-0121"
"18",48.9093,12.5753424657534,"TPL",1,1.022,"EPA","IAW02344-0122"
"19",1081.3799,12.5342465753425,"TPL",0.6,0.929,"EPA","IAW02344-0125"
"20",909.7096,12.4630136986301,"TPL",0.4,1.022,"EPA","IAW02344-0128"
"21",126.1858,12.4767123287671,"TPL",1,1.022,"EPA","IAW02344-0130"
"22",4365.5889,12.5561643835616,"TPL",0.108,1.022,"EPA","IAW02344-0132"
"23",6914.7332,12.5945205479452,"UMW",0.058,1.022,"EPA","IAW02344-0133"
"24",112.4911,12.6164383561644,"TPL",1,1.022,"EPA","IAW02344-0134"
"25",1274.9331,12.558904109589,"TPL",0.267,1.022,"EPA","IAW02344-0135"
"26",2.9346,12.4821917808219,"TPL",1,1.022,"EPA","IAW02344-0250"
"27",4822.4362,12.772602739726,"TPL",0.1,1.022,"EPA","IAW02344-IA01"
