"","genera","Order","Family","Subfamily","col_label"
"1","Antocha","Diptera","Tipulidae","Limoniinae","Diptera, Non-chironomid"
"2","Cheumatopsyche","Trichoptera","Hydropsychidae","Hydropsychinae","Trichoptera"
"3","Hydroptila","Trichoptera","Hydroptilidae","Hydroptilinae","Trichoptera"
"4","Limonia","Diptera","Tipulidae","Limoniinae","Diptera, Non-chironomid"
"5","Microtendipes","Diptera","Chironomidae","Chironominae","Diptera, Chironomidae"
"6","Optioservus","Coleoptera","Elmidae","","Coleoptera"
"7","Polypedilum","Diptera","Chironomidae","Chironominae","Diptera, Chironomidae"
"8","Saetheria","Diptera","Chironomidae","Chironominae","Diptera, Chironomidae"
"9","Simulium","Diptera","Simuliidae","","Diptera, Non-chironomid"
"10","Stenelmis","Coleoptera","Elmidae","","Coleoptera"
"11","Chimarra","Trichoptera","Philopotamidae","Chimarrinae","Trichoptera"
"12","Petrophila","Lepidoptera","Crambidae","Acentropinae","Lepidoptera"
"13","Sphaerium","Veneroida","Sphaeriidae","Sphaeriinae","Veneroida"
"14","Ablabesmyia","Diptera","Chironomidae","Tanypodinae","Diptera, Chironomidae"
"15","Argia","Odonata","Coenagrionidae","","Odonata"
"16","Dicrotendipes","Diptera","Chironomidae","Chironominae","Diptera, Chironomidae"
"17","Ferrissia","Basommatophora","Ancylidae","","Basommatophora"
"18","Nilothauma","Diptera","Chironomidae","Chironominae","Diptera, Chironomidae"
"19","Procladius","Diptera","Chironomidae","Tanypodinae","Diptera, Chironomidae"
"20","Psephenus","Coleoptera","Psephenidae","","Coleoptera"
"21","Cladotanytarsus","Diptera","Chironomidae","Chironominae","Diptera, Chironomidae"
"22","Isonychia","Ephemeroptera","Isonychiidae","","Ephemeroptera"
"23","Physa","Basommatophora","Physidae","Physinae","Basommatophora"
"24","Lirceus","Isopoda","Asellidae","","Isopoda"
"25","Nanocladius","Diptera","Chironomidae","Orthocladiinae","Diptera, Chironomidae"
"26","Parametriocnemus","Diptera","Chironomidae","Orthocladiinae","Diptera, Chironomidae"
"27","Rheocricotopus","Diptera","Chironomidae","Orthocladiinae","Diptera, Chironomidae"
"28","Tipula","Diptera","Tipulidae","Tipulinae","Diptera, Non-chironomid"
"29","Branchiura","Tubificida","Tubificidae","","Tubificida"
"30","Hemerodromia","Diptera","Empididae","Hemerodromiinae","Diptera, Non-chironomid"
"31","Potamyia","Trichoptera","Hydropsychidae","Hydropsychinae","Trichoptera"
"32","Corbicula","Veneroida","Corbiculidae","","Veneroida"
"33","Helicopsyche","Trichoptera","Helicopsychidae","","Trichoptera"
"34","Pseudochironomus","Diptera","Chironomidae","Chironominae","Diptera, Chironomidae"
"35","Acroneuria","Plecoptera","Perlidae","Acroneuriinae","Plecoptera"
"36","Apatania","Trichoptera","Apataniidae","","Trichoptera"
"37","Dubiraphia","Coleoptera","Elmidae","","Coleoptera"
"38","Gammarus","Amphipoda","Gammaridae","","Amphipoda"
"39","Laevapex","Basommatophora","Ancylidae","","Basommatophora"
"40","Micrasema","Trichoptera","Brachycentridae","","Trichoptera"
"41","Mystacides","Trichoptera","Leptoceridae","Leptocerinae","Trichoptera"
"42","Neureclipsis","Trichoptera","Polycentropodidae","Polycentropodinae","Trichoptera"
"43","Oecetis","Trichoptera","Leptoceridae","Leptocerinae","Trichoptera"
"44","Pentaneura","Diptera","Chironomidae","Tanypodinae","Diptera, Chironomidae"
"45","Polycentropus","Trichoptera","Polycentropodidae","Polycentropodinae","Trichoptera"
"46","Psychomyia","Trichoptera","Psychomyiidae","Psychomyiinae","Trichoptera"
"47","Synorthocladius","Diptera","Chironomidae","Orthocladiinae","Diptera, Chironomidae"
"48","Caecidotea","Isopoda","Asellidae","","Isopoda"
"49","Ceraclea","Trichoptera","Leptoceridae","Leptocerinae","Trichoptera"
"50","Cryptochironomus","Diptera","Chironomidae","Chironominae","Diptera, Chironomidae"
"51","Pisidium","Veneroida","Sphaeriidae","Pisidiinae","Veneroida"
"52","Ancyronyx","Coleoptera","Elmidae","","Coleoptera"
"53","Macronychus","Coleoptera","Elmidae","","Coleoptera"
"54","Pycnopsyche","Trichoptera","Limnephilidae","Limnephilinae","Trichoptera"
"55","Cyrnellus","Trichoptera","Polycentropodidae","Polycentropodinae","Trichoptera"
"56","Brillia","Diptera","Chironomidae","Orthocladiinae","Diptera, Chironomidae"
"57","Nectopsyche","Trichoptera","Leptoceridae","Leptocerinae","Trichoptera"
"58","Hyalella","Amphipoda","Hyalellidae","","Amphipoda"
"59","Dicranota","Diptera","Tipulidae","Limoniinae","Diptera, Non-chironomid"
"60","Dolophilodes","Trichoptera","Philopotamidae","Philopotaminae","Trichoptera"
"61","Glossosoma","Trichoptera","Glossosomatidae","Glossosomatinae","Trichoptera"
"62","Leuctra","Plecoptera","Leuctridae","Leuctrinae","Plecoptera"
"63","Nigronia","Megaloptera","Corydalidae","Chauliodinae","Megaloptera"
"64","Oulimnius","Coleoptera","Elmidae","","Coleoptera"
"65","Parachaetocladius","Diptera","Chironomidae","Orthocladiinae","Diptera, Chironomidae"
"66","Rhyacophila","Trichoptera","Rhyacophilidae","","Trichoptera"
"67","Suwallia","Plecoptera","Chloroperlidae","Chloroperlinae","Plecoptera"
"68","Dineutus","Coleoptera","Gyrinidae","","Coleoptera"
"69","Leptoxis","Mesogastropoda","Pleuroceridae","","Mesogastropoda"
"70","Perlesta","Plecoptera","Perlidae","Acroneuriinae","Plecoptera"
"71","Kribiodorum","Diptera","Chironomidae","Chironominae","Diptera, Chironomidae"
"72","Macrostemum","Trichoptera","Hydropsychidae","Macronematinae","Trichoptera"
"73","Neotrichia","Trichoptera","Hydroptilidae","Hydroptilinae","Trichoptera"
"74","Stictochironomus","Diptera","Chironomidae","Chironominae","Diptera, Chironomidae"
"75","Agapetus","Trichoptera","Glossosomatidae","Agapetinae","Trichoptera"
"76","Arctopsyche","Trichoptera","Hydropsychidae","Arctopsychinae","Trichoptera"
"77","Heterlimnius","Coleoptera","Elmidae","","Coleoptera"
"78","Hexatoma","Diptera","Tipulidae","Limoniinae","Diptera, Non-chironomid"
"79","Kathroperla","Plecoptera","Chloroperlidae","Paraperlinae","Plecoptera"
"80","Lara","Coleoptera","Elmidae","","Coleoptera"
"81","Neophylax","Trichoptera","Uenoidae","Thremmatinae","Trichoptera"
"82","Ochrotrichia","Trichoptera","Hydroptilidae","Hydroptilinae","Trichoptera"
"83","Skwala","Plecoptera","Perlodidae","Perlodinae","Plecoptera"
"84","Sweltsa","Plecoptera","Chloroperlidae","Chloroperlinae","Plecoptera"
"85","Wormaldia","Trichoptera","Philopotamidae","Philopotaminae","Trichoptera"
"86","Zapada","Plecoptera","Nemouridae","Nemourinae","Plecoptera"
"87","Blepharicera","Diptera","Blephariceridae","","Diptera, Non-chironomid"
"88","Brachycentrus","Trichoptera","Brachycentridae","","Trichoptera"
"89","Hesperoperla","Plecoptera","Perlidae","Acroneuriinae","Plecoptera"
"90","Pteronarcys","Plecoptera","Pteronarcyidae","Pteronarcyinae","Plecoptera"
"91","Rhagovelia","Hemiptera","Veliidae","Rhagoveliinae","Hemiptera"
"92","Zaitzevia","Coleoptera","Elmidae","","Coleoptera"
"93","Endochironomus","Diptera","Chironomidae","Chironominae","Diptera, Chironomidae"
"94","Parachironomus","Diptera","Chironomidae","Chironominae","Diptera, Chironomidae"
"95","Calopteryx","Odonata","Calopterygidae","","Odonata"
"96","Hydrochus","Coleoptera","Hydrochidae","","Coleoptera"
"97","Berosus","Coleoptera","Hydrophilidae","","Coleoptera"
"98","Ischnura","Odonata","Coenagrionidae","","Odonata"
"99","Orthotrichia","Trichoptera","Hydroptilidae","Hydroptilinae","Trichoptera"
"100","Paratanytarsus","Diptera","Chironomidae","Chironominae","Diptera, Chironomidae"
"101","Trichocorixa","Hemiptera","Corixidae","Corixinae","Hemiptera"
"102","Enochrus","Coleoptera","Hydrophilidae","","Coleoptera"
"103","Hetaerina","Odonata","Calopterygidae","","Odonata"
"104","Lepidostoma","Trichoptera","Lepidostomatidae","Lepidostomatinae","Trichoptera"
"105","Pagastia","Diptera","Chironomidae","Diamesinae","Diptera, Chironomidae"
"106","Promoresia","Coleoptera","Elmidae","","Coleoptera"
