"","tot_abun","YearCont","Year","Ecoregion_NARS","PropID","AreaSampTot_m2","Agency","Gen_ID_Prop","SiteNumber","landuse"
"1",131.0764,12.4547945205479,12,"TPL",1,1.022,"EPA",0.885350318471338,"IAW02344-0096","Agriculture"
"2",288.5641,12.5424657534247,12,"TPL",1,1.022,"EPA",0.841666666666667,"IAW02344-0096","Agriculture"
"3",26.4112,12.5780821917808,12,"TPL",1,1.022,"EPA",0.852941176470588,"IAW02344-0097","Agriculture"
"4",268.022,12.7808219178082,12,"TPL",1,1.022,"EPA",0.796610169491525,"IAW02344-0097","Agriculture"
"5",1995.4905,12.627397260274,12,"TPL",0.2,1.022,"EPA",0.836065573770492,"IAW02344-0099","Agriculture"
"6",152.5966,12.7643835616438,12,"TPL",1,1.022,"EPA",0.835106382978723,"IAW02344-0099","Agriculture"
"7",68.4729,12.7698630136986,12,"TPL",1,1.022,"EPA",0.873563218390805,"IAW02344-0102","Agriculture"
"8",320.5806,12.4767123287671,12,"TPL",0.833,1.022,"EPA",0.670886075949367,"IAW02344-0103","Agriculture"
"9",552.2469,12.5205479452055,12,"TPL",0.333,1.022,"EPA",0.539614561027837,"IAW02344-0104","Agriculture"
"10",168.2474,12.4986301369863,12,"TPL",1,1.022,"EPA",0.712550607287449,"IAW02344-0105","Agriculture"
"11",205.4185,12.5917808219178,12,"TPL",1,1.022,"EPA",0.897872340425532,"IAW02344-0108","Agriculture"
"12",23.4765,12.4794520547945,12,"TPL",1,1.022,"EPA",0.736842105263158,"IAW02344-0113","Agriculture"
"13",61.6255,12.4931506849315,12,"TPL",1,1.022,"EPA",0.474074074074074,"IAW02344-0114","Agriculture"
"14",294.4329,12.5397260273973,12,"TPL",1,1.022,"EPA",0.723150357995227,"IAW02344-0118","Agriculture"
"15",128.1421,12.7013698630137,12,"TPL",1,1.022,"EPA",0.852564102564103,"IAW02344-0119","Agriculture"
"16",937.0572,12.5698630136986,12,"TPL",0.333,1.022,"EPA",0.616541353383459,"IAW02344-0120","Agriculture"
"17",137.9238,12.5506849315068,12,"TPL",1,1.022,"EPA",0.657407407407407,"IAW02344-0121","Agriculture"
"18",47.9311,12.5753424657534,12,"TPL",1,1.022,"EPA",0.98,"IAW02344-0122","Agriculture"
"19",536.2068,12.5342465753425,12,"TPL",0.6,0.929,"EPA",0.90547263681592,"IAW02344-0125","Agriculture"
"20",269.0003,12.4630136986301,12,"TPL",0.4,1.022,"EPA",0.311827956989247,"IAW02344-0128","Agriculture"
"21",64.5602,12.4767123287671,12,"TPL",1,1.022,"EPA",0.527131782945736,"IAW02344-0130","Agriculture"
"22",2961.717,12.5561643835616,12,"TPL",0.108,1.022,"EPA",0.688796680497925,"IAW02344-0132","Agriculture"
"23",5447.4606,12.5945205479452,12,"UMW",0.058,1.022,"EPA",0.826829268292683,"IAW02344-0133","Agriculture"
"24",108.5784,12.6164383561644,12,"TPL",1,1.022,"EPA",0.973913043478261,"IAW02344-0134","Agriculture"
"25",926.891,12.558904109589,12,"TPL",0.267,1.022,"EPA",0.767241379310345,"IAW02344-0135","Agriculture"
"26",0.9782,12.4821917808219,12,"TPL",1,1.022,"EPA",0.333333333333333,"IAW02344-0250","Agriculture"
"27",3883.3818,12.772602739726,12,"TPL",0.1,1.022,"EPA",0.829614604462475,"IAW02344-IA01","Agriculture"
"28",892.3369,12.7150684931507,12,"TPL",0.433,1.022,"EPA",0.820040899795501,"IAW02344-IA02","Agriculture"
"29",1403.6905,12.8630136986301,12,"TPL",0.2,1.022,"EPA",0.480132450331126,"IAW02344-IA04","Agriculture"
"30",4890.9086,12.7123287671233,12,"UMW",0.075,1.022,"EPA",0.88558352402746,"IAW02344-IA07","Forest_Wetland"
"31",2342.745,12.786301369863,12,"NAP",0.2,1.022,"EPA",0.836363636363636,"NEWS04-0305","Forest_Wetland"
"32",2963.8906,12.7095890410959,12,"NAP",0.1,1.022,"EPA",0.635658914728682,"NEWS04-1105","Forest_Wetland"
"33",186.8329,12.7013698630137,12,"NAP",1,1.022,"EPA",0.862068965517241,"NEWS04-1106","Forest_Wetland"
"34",688.6405,12.7150684931507,12,"NAP",0.5,1.022,"EPA",0.725409836065574,"NEWS04-1202","Forest_Wetland"
"35",2419.7145,12.7205479452055,12,"NAP",0.133,1.022,"EPA",0.691823899371069,"NEWS04-1302","Forest_Wetland"
"36",2023.5347,12.7260273972603,12,"NAP",0.233,1.022,"EPA",0.94140625,"NEWS04-1410","Forest_Wetland"
"37",1166.4827,12.6356164383562,12,"NAP",0.4,1.022,"EPA",0.89799635701275,"NEWS04-1801","Forest_Wetland"
"38",752.4472,12.6986301369863,12,"NAP",0.533,1.022,"EPA",0.885375494071146,"NEWS04-1801","Forest_Wetland"
"39",1285.9241,12.7068493150685,12,"NAP",0.267,1.022,"EPA",0.673704414587332,"NEWS04-1903","Forest_Wetland"
"40",1553.3668,12.7232876712329,12,"NAP",0.267,1.022,"EPA",0.793680297397769,"NEWS04-2101","Forest_Wetland"
"41",3932.2906,12.6164383561644,12,"NAP",0.1,1.022,"EPA",0.825819672131147,"NEWS04-2502","Forest_Wetland"
"42",4587.6726,12.6246575342466,12,"NAP",0.1,1.022,"EPA",0.843525179856115,"NEWS04-2805","Forest_Wetland"
"43",988.8425,12.5561643835616,12,"NAP",0.367,1.022,"EPA",0.751012145748988,"NEWS04-2907","Forest_Wetland"
"44",2758.8246,12.558904109589,12,"NAP",0.167,1.022,"EPA",0.830795262267343,"NEWS04-3206","Forest_Wetland"
"45",630.927,12.6082191780822,12,"NAP",0.6,1.022,"EPA",0.776447105788423,"NEWS04-3406","Urban"
"46",620.346,12.5287671232877,12,"NAP",0.667,1.022,"EPA",0.909819639278557,"NEWS04-3504","Forest_Wetland"
"47",1760.7269,12.5479452054795,12,"NAP",0.1,1.022,"EPA",0.903339191564148,"NEWS04-3802","Forest_Wetland"
"48",1623.2233,12.5205479452055,12,"NAP",0.35,0.929,"EPA",0.827534039334342,"NEWS04-3901","Forest_Wetland"
"49",1274.868,12.5260273972603,12,"NAP",0.333,1.022,"EPA",0.873046875,"NEWS04-4003","Urban"
"50",777.124,12.5342465753425,12,"NAP",0.433,1.022,"EPA",0.79467680608365,"NEWS04-4104","Forest_Wetland"
"51",764.9385,12.5232876712329,12,"NAP",0.5,1.022,"EPA",0.85838779956427,"NEWS04-CT03","Forest_Wetland"
"52",1470.533,12.5178082191781,12,"NAP",0.3,1.022,"EPA",0.867424242424242,"NEWS04-CT05","Forest_Wetland"
"53",2441.7785,12.7972602739726,12,"NAP",0.133,1.022,"EPA",0.70042194092827,"NEWS04-ME05","Forest_Wetland"
"54",1230.8054,12.7041095890411,12,"NAP",0.333,1.022,"EPA",0.869565217391304,"NEWS04-NH01","Forest_Wetland"
"55",1838.8134,12.613698630137,12,"NAP",0.233,1.022,"EPA",0.85546875,"NEWS04-NH03","Forest_Wetland"
"56",2450.345,12.5369863013699,12,"NAP",0.2,1.022,"EPA",0.82992125984252,"NEWS04-RI01","Forest_Wetland"
"57",1737.9025,12.5534246575342,12,"NAP",0.3,1.022,"EPA",0.897306397306397,"NEWS04-ST03","Forest_Wetland"
"58",2941.9019,12.5506849315068,12,"NAP",0.133,1.022,"EPA",0.735714285714286,"NEWS04-ST04","Forest_Wetland"
"59",1274.8678,12.641095890411,12,"NAP",0.333,1.022,"EPA",0.783393501805054,"NEWS04-VT01","Forest_Wetland"
"60",1055.682,12.5452054794521,12,"SAP",0.467,1.022,"EPA",0.918625678119349,"NRS_AL-10005","Forest_Wetland"
"61",842.0317,12.558904109589,12,"SAP",0.467,1.022,"EPA",0.811881188118812,"NRS_AL-10005","Forest_Wetland"
"62",1823.7804,17.4383561643836,17,"SAP",0.270855904658722,1.022,"EPA",0.94280442804428,"NRS_AL-10005","Forest_Wetland"
"63",61.6258,12.5369863013699,12,"SAP",1,1.022,"EPA",0.936708860759494,"NRS_AL-10006","Forest_Wetland"
"64",152.5964,12.5561643835616,12,"SAP",1,1.022,"EPA",0.974358974358974,"NRS_AL-10006","Forest_Wetland"
"65",168.6172,17.4821917808219,17,"SAP",0.916590284142988,1.022,"EPA",0.385496183206107,"NRS_AL-10006","Forest_Wetland"
"66",642.3331,12.5397260273973,12,"SAP",0.533,1.022,"EPA",0.865530303030303,"NRS_AL-10010","Forest_Wetland"
"67",514.7168,17.4986301369863,17,"SAP",0.58343057176196,1.022,"EPA",0.790697674418605,"NRS_AL-10010","Forest_Wetland"
"68",133.0329,12.7479452054795,12,"SAP",1,1.022,"EPA",0.805714285714286,"NRS_AL-10019","Urban"
"69",1402.7135,17.4849315068493,17,"SAP",0.666666666666667,1.022,"EPA",0.926032660902978,"NRS_AL-10019","Urban"
"70",465.6149,17.5232876712329,17,"SAP",1,1.022,"EPA",0.937262357414449,"NRS_AL-10019","Urban"
"71",858.8439,12.7506849315069,12,"SAP",0.5,1.022,"EPA",0.806509945750452,"NRS_AL-10020","Forest_Wetland"
"72",615.0808,17.5041095890411,17,"SAP",0.625,1.022,"EPA",0.777153558052434,"NRS_AL-10020","Forest_Wetland"
"73",348.2329,12.5671232876712,12,"SAP",1,1.022,"EPA",0.863636363636364,"NRS_AL-10023","Forest_Wetland"
"74",657.5442,17.5479452054795,17,"SAP",0.687285223367698,1.022,"EPA",0.882462686567164,"NRS_AL-10023","Forest_Wetland"
"75",284.6511,12.8109589041096,12,"CPL",1,1.022,"EPA",0.966777408637874,"NRS_AL-10024","Forest_Wetland"
"76",901.8838,17.6164383561644,17,"CPL",0.5,1.022,"EPA",0.908045977011494,"NRS_AL-10024","Forest_Wetland"
