"","alpha","Ecoregion_NARS","Year","PropID","AreaSampTot_m2","Agency","Gen_ID_Prop","SiteNumber","landuse"
"1",31,"TPL",12,1,1.022,"EPA",0.841666666666667,"IAW02344-0096","Agriculture"
"2",19,"TPL",12,1,1.022,"EPA",0.796610169491525,"IAW02344-0097","Agriculture"
"3",28,"TPL",12,0.2,1.022,"EPA",0.836065573770492,"IAW02344-0099","Agriculture"
"4",14,"TPL",12,0.833,1.022,"EPA",0.670886075949367,"IAW02344-0103","Agriculture"
"5",13,"TPL",12,0.333,1.022,"EPA",0.539614561027837,"IAW02344-0104","Agriculture"
"6",22,"TPL",12,1,1.022,"EPA",0.723150357995227,"IAW02344-0118","Agriculture"
"7",25,"TPL",12,0.333,1.022,"EPA",0.616541353383459,"IAW02344-0120","Agriculture"
"8",23,"TPL",12,0.6,0.929,"EPA",0.90547263681592,"IAW02344-0125","Agriculture"
"9",9,"TPL",12,0.4,1.022,"EPA",0.311827956989247,"IAW02344-0128","Agriculture"
"10",20,"TPL",12,0.108,1.022,"EPA",0.688796680497925,"IAW02344-0132","Agriculture"
"11",22,"UMW",12,0.058,1.022,"EPA",0.826829268292683,"IAW02344-0133","Agriculture"
"12",27,"TPL",12,0.267,1.022,"EPA",0.767241379310345,"IAW02344-0135","Agriculture"
"13",20,"TPL",12,0.1,1.022,"EPA",0.829614604462475,"IAW02344-IA01","Agriculture"
"14",32,"TPL",12,0.433,1.022,"EPA",0.820040899795501,"IAW02344-IA02","Agriculture"
"15",26,"TPL",12,0.2,1.022,"EPA",0.480132450331126,"IAW02344-IA04","Agriculture"
"16",22,"UMW",12,0.075,1.022,"EPA",0.88558352402746,"IAW02344-IA07","Forest_Wetland"
"17",27,"NAP",12,0.05,1.022,"EPA",0.88141592920354,"NEWS04-0203","Forest_Wetland"
"18",40,"NAP",12,0.2,1.022,"EPA",0.836363636363636,"NEWS04-0305","Forest_Wetland"
"19",31,"NAP",12,0.1,1.022,"EPA",0.635658914728682,"NEWS04-1105","Forest_Wetland"
