"","X","alpha","Ecoregion_NARS","Year","PropID","AreaSampTot_m2","Agency","Gen_ID_Prop","SiteNumber","landuse","Latitude_dd","Longitude_dd"
"1",1,31,"TPL",12,1,1.022,"EPA",0.841666666666667,"IAW02344-0096","Agriculture",41.950878,-94.089731
"2",2,19,"TPL",12,1,1.022,"EPA",0.796610169491525,"IAW02344-0097","Agriculture",41.332723,-95.400885
"3",3,28,"TPL",12,0.2,1.022,"EPA",0.836065573770492,"IAW02344-0099","Agriculture",42.537422,-94.33916
"4",4,14,"TPL",12,0.833,1.022,"EPA",0.670886075949367,"IAW02344-0103","Agriculture",43.079063,-96.40991
"5",5,13,"TPL",12,0.333,1.022,"EPA",0.539614561027837,"IAW02344-0104","Agriculture",42.446393,-95.541019
"6",6,22,"TPL",12,1,1.022,"EPA",0.723150357995227,"IAW02344-0118","Agriculture",42.049414,-90.92558
"7",7,25,"TPL",12,0.333,1.022,"EPA",0.616541353383459,"IAW02344-0120","Agriculture",42.549931,-95.224388
"8",8,23,"TPL",12,0.6,0.929,"EPA",0.90547263681592,"IAW02344-0125","Agriculture",41.477807,-91.020575
"9",9,9,"TPL",12,0.4,1.022,"EPA",0.311827956989247,"IAW02344-0128","Agriculture",41.972987,-95.0169
"10",10,20,"TPL",12,0.108,1.022,"EPA",0.688796680497925,"IAW02344-0132","Agriculture",42.826805,-93.836982
"11",11,22,"UMW",12,0.058,1.022,"EPA",0.826829268292683,"IAW02344-0133","Agriculture",42.756847,-91.563138
"12",12,27,"TPL",12,0.267,1.022,"EPA",0.767241379310345,"IAW02344-0135","Agriculture",43.135349,-93.30084
"13",13,20,"TPL",12,0.1,1.022,"EPA",0.829614604462475,"IAW02344-IA01","Agriculture",43.276736,-93.353791
"14",14,32,"TPL",12,0.433,1.022,"EPA",0.820040899795501,"IAW02344-IA02","Agriculture",42.329157,-91.981954
"15",15,26,"TPL",12,0.2,1.022,"EPA",0.480132450331126,"IAW02344-IA04","Agriculture",42.902773,-93.262418
"16",16,22,"UMW",12,0.075,1.022,"EPA",0.88558352402746,"IAW02344-IA07","Forest_Wetland",43.377213,-91.397228
"17",17,27,"NAP",12,0.05,1.022,"EPA",0.88141592920354,"NEWS04-0203","Forest_Wetland",46.9965,-68.02482
"18",18,40,"NAP",12,0.2,1.022,"EPA",0.836363636363636,"NEWS04-0305","Forest_Wetland",46.8218,-69.717
"19",19,31,"NAP",12,0.1,1.022,"EPA",0.635658914728682,"NEWS04-1105","Forest_Wetland",45.37608,-70.75558
"20",20,36,"NAP",12,0.5,1.022,"EPA",0.725409836065574,"NEWS04-1202","Forest_Wetland",45.1809,-70.01658
"21",21,34,"NAP",12,0.133,1.022,"EPA",0.691823899371069,"NEWS04-1302","Forest_Wetland",45.29801,-68.8517
"22",22,26,"NAP",12,0.233,1.022,"EPA",0.94140625,"NEWS04-1410","Forest_Wetland",45.45344,-68.09774
"23",23,42,"NAP",12,0.4,1.022,"EPA",0.89799635701275,"NEWS04-1801","Forest_Wetland",44.5808,-72.0714
"24",24,28,"NAP",12,0.267,1.022,"EPA",0.673704414587332,"NEWS04-1903","Forest_Wetland",44.5631,-70.8574
"25",25,41,"NAP",12,0.267,1.022,"EPA",0.793680297397769,"NEWS04-2101","Forest_Wetland",44.77489,-68.39244
"26",26,48,"NAP",12,0.1,1.022,"EPA",0.825819672131147,"NEWS04-2502","Forest_Wetland",43.7479,-71.1469
"27",27,23,"NAP",12,0.1,1.022,"EPA",0.843525179856115,"NEWS04-2805","Forest_Wetland",43.2611,-73.0884
"28",28,36,"NAP",12,0.367,1.022,"EPA",0.751012145748988,"NEWS04-2907","Forest_Wetland",43.1519,-72.3491
"29",29,37,"NAP",12,0.167,1.022,"EPA",0.830795262267343,"NEWS04-3206","Forest_Wetland",42.5346,-72.5282
"30",30,23,"NAP",12,0.6,1.022,"EPA",0.776447105788423,"NEWS04-3406","Urban",42.8474,-71.3463
"31",31,26,"NAP",12,0.667,1.022,"EPA",0.909819639278557,"NEWS04-3504","Forest_Wetland",41.8804,-73.3305
"32",32,20,"NAP",12,0.1,1.022,"EPA",0.903339191564148,"NEWS04-3802","Forest_Wetland",42.1285,-70.8737
"33",33,29,"NAP",12,0.35,0.929,"EPA",0.827534039334342,"NEWS04-3901","Forest_Wetland",41.324,-73.4411
"34",34,35,"NAP",12,0.333,1.022,"EPA",0.873046875,"NEWS04-4003","Urban",41.6369,-72.8683
"35",35,27,"NAP",12,0.433,1.022,"EPA",0.79467680608365,"NEWS04-4104","Forest_Wetland",41.5979,-72.1953
"36",36,35,"NAP",12,0.5,1.022,"EPA",0.85838779956427,"NEWS04-CT03","Forest_Wetland",41.5753,-72.4282
"37",37,33,"NAP",12,0.3,1.022,"EPA",0.867424242424242,"NEWS04-CT05","Forest_Wetland",41.2945,-73.3948
"38",38,37,"NAP",12,0.133,1.022,"EPA",0.70042194092827,"NEWS04-ME05","Forest_Wetland",46.3041,-67.8557
"39",39,31,"NAP",12,0.333,1.022,"EPA",0.869565217391304,"NEWS04-NH01","Forest_Wetland",44.81188,-71.24184
"40",40,33,"NAP",12,0.233,1.022,"EPA",0.85546875,"NEWS04-NH03","Forest_Wetland",43.86,-71.3746
"41",41,35,"NAP",12,0.2,1.022,"EPA",0.82992125984252,"NEWS04-RI01","Forest_Wetland",41.539,-71.699
"42",42,34,"NAP",12,0.3,1.022,"EPA",0.897306397306397,"NEWS04-ST03","Forest_Wetland",42.7033,-72.6711
"43",43,43,"NAP",12,0.133,1.022,"EPA",0.735714285714286,"NEWS04-ST04","Forest_Wetland",42.4109,-71.7912
"44",44,36,"NAP",12,0.333,1.022,"EPA",0.783393501805054,"NEWS04-VT01","Forest_Wetland",44.5603,-71.9639
"45",45,43,"SAP",12,0.467,1.022,"EPA",0.918625678119349,"NRS_AL-10005","Forest_Wetland",34.715781,-85.611202
"46",46,26,"SAP",17,0.270855904658722,1.022,"EPA",0.94280442804428,"NRS_AL-10005","Forest_Wetland",34.71586192,-85.61116941
"47",47,28,"SAP",17,0.916590284142988,1.022,"EPA",0.385496183206107,"NRS_AL-10006","Forest_Wetland",33.35811668,-87.14547143
"48",48,24,"SAP",12,0.533,1.022,"EPA",0.865530303030303,"NRS_AL-10010","Forest_Wetland",33.872632,-86.323648
"49",49,34,"SAP",17,0.58343057176196,1.022,"EPA",0.790697674418605,"NRS_AL-10010","Forest_Wetland",33.87273064,-86.32362837
"50",50,32,"SAP",17,0.666666666666667,1.022,"EPA",0.926032660902978,"NRS_AL-10019","Urban",33.424918,-86.77562358
"51",51,19,"SAP",12,0.5,1.022,"EPA",0.806509945750452,"NRS_AL-10020","Forest_Wetland",33.778638,-85.759662
"52",52,26,"SAP",17,0.625,1.022,"EPA",0.777153558052434,"NRS_AL-10020","Forest_Wetland",33.77873961,-85.75962636
"53",53,43,"SAP",12,1,1.022,"EPA",0.863636363636364,"NRS_AL-10023","Forest_Wetland",34.091704,-87.737937
