"","alpha.bar","sc.gamma","sc","sc.CL","Year","landuse","Agency","Gen_ID_Prop","Ecoregion_NARS"
"1",13.5,26.1387858577271,0.717113466604309,9.29838541833739,1,"Agriculture","USGS",0.656804733727811,"CPL"
"2",19.4285714285714,54.749869374698,0.75735294117647,13.868971212887,1,"Forest_Wetland","USGS",0.629651682048229,"CPL"
"3",18.8,44.8533658753499,0.750000828085203,6.49916988682772,2,"Forest_Wetland","USGS",0.669786368260427,"CPL"
"4",20.3333333333333,52.4228366985559,0.729508196721312,17.2992434916518,3,"Forest_Wetland","USGS",0.720206141292678,"CPL"
"5",16.3333333333333,17.5496373917624,0.73469387755102,3.62449773684241,4,"Agriculture","USGS",0.738125802310655,"CPL"
"6",16.75,54.0912601592173,0.753731343283582,12.4034986133518,4,"Forest_Wetland","USGS",0.67462556978511,"CPL"
"7",12.8333333333333,34.2403901796016,0.714285714285714,14.8449178540328,4,"Urban","USGS",0.505038529934795,"CPL"
"8",14,22.3388470020169,0.749999225410931,3.50448002017859,5,"Agriculture","USGS",0.805205047318612,"CPL"
"9",20,61.6918322819152,0.750000403664205,7.51095992866707,5,"Forest_Wetland","USGS",0.592004283419597,"CPL"
"10",21,42.6794871794872,0.75,9.0316665059882,5,"Urban","USGS",0.715596330275229,"CPL"
"11",19,46.2721363165576,0.736842105263158,12.3265676281142,6,"Agriculture","USGS",0.662009063444109,"CPL"
"12",21.5,53.4043501641135,0.775193798449612,8.0747977659648,6,"Forest_Wetland","USGS",0.661538461538462,"CPL"
"13",17.2,34.6918606168782,0.72093023255814,10.9148558401831,6,"Urban","USGS",0.797832905617337,"CPL"
"14",12.2,26.6754346947943,0.754098360655738,7.81232058816842,7,"Agriculture","USGS",0.776560266793711,"CPL"
"15",17.3,50.0860861891109,0.749999623559059,9.70183821034163,7,"Forest_Wetland","USGS",0.529886603882376,"CPL"
"16",11.8333333333333,43.4270833333333,0.75,15.8335316064564,7,"Urban","USGS",0.537897310513447,"CPL"
"17",14.3333333333333,34.125,0.75,22.1342259210659,8,"Urban","USGS",0.772020725388601,"CPL"
"18",13.25,30.0686561883768,0.749999323381746,10.9639804256353,9,"Agriculture","USGS",0.657434402332362,"CPL"
"19",13.1428571428571,37.0904341395109,0.760869565217391,9.09944287140833,9,"Forest_Wetland","USGS",0.734246575342466,"CPL"
"20",15,39.3236812842724,0.699087667275954,14.9045194980482,9,"Urban","USGS",0.775510204081633,"CPL"
"21",27.3333333333333,57.6666666666667,0.75,20.3405210310847,10,"Agriculture","USGS",0.661024917724495,"CPL"
"22",18.3333333333333,40.5374854410353,0.749999895696969,7.57097402753536,10,"Forest_Wetland","USGS",0.790101156069364,"CPL"
"23",23,23,0.521739130434783,3.99054065937849,10,"Urban","USGS",0.817109144542773,"CPL"
"24",14.6666666666667,29.1111111111111,0.75,9.69202099002512,11,"Agriculture","USGS",0.743101807802093,"CPL"
"25",20.1666666666667,51.0694297819886,0.776859504132231,8.50452103824747,11,"Forest_Wetland","USGS",0.778606965174129,"CPL"
"26",14.8,32.7857168822936,0.77027027027027,8.5748362950179,11,"Urban","USGS",0.764917003140422,"CPL"
"27",19.5357142857143,91.6382375268302,0.750000375085118,7.74834796832603,12,"Agriculture","EPA",0.633421197817691,"CPL"
"28",20.59375,44.5142953115379,0.750001131507524,3.08294218313095,12,"Agriculture","USGS",0.719309762730939,"CPL"
"29",24.2340425531915,87.6326897690746,0.750000435363096,5.49085812143321,12,"Forest_Wetland","EPA",0.745398286258331,"CPL"
"30",23.6176470588235,50.515360616803,0.749999875435726,3.4688935838759,12,"Forest_Wetland","USGS",0.716822675181524,"CPL"
"31",19.6666666666667,44.7604166666667,0.75,20.6345294763121,12,"Urban","USGS",0.829864253393665,"CPL"
"32",19.5,39.384827764413,0.725032989745932,11.0362064235714,13,"Agriculture","USGS",0.852380952380952,"CPL"
"33",23.375,47.1829753036646,0.750000405620079,10.8849873138715,13,"Forest_Wetland","USGS",0.803101334294987,"CPL"
"34",16.5,25.0071761800576,0.734829786741821,3.1241704961981,13,"Urban","USGS",0.806748466257669,"CPL"
"35",18,45.9567002057614,0.709208336508663,14.1756164310442,14,"Agriculture","USGS",0.839469808541974,"CPL"
"36",24.8571428571429,48.0781455071149,0.750000055648123,5.06768993323438,14,"Forest_Wetland","USGS",0.840598290598291,"CPL"
"37",14,28.066675913138,0.715986630437195,8.89622074132958,14,"Urban","USGS",0.900928792569659,"CPL"
"38",27.5,27.5,0.618181818181818,3.37739260138614,15,"Forest_Wetland","USGS",0.799703264094956,"CPL"
"39",19,94.0227272727273,0.75,54.9019794637903,16,"Forest_Wetland","EPA",0.752498530276308,"CPL"
"40",24.5,37.6358497917059,0.73469387755102,6.89602139416964,16,"Forest_Wetland","USGS",0.849493487698987,"CPL"
"41",23.5,23.5,0.595744680851064,2.91147530800687,16,"Urban","EPA",0.645410628019324,"CPL"
"42",15.625,48.5355078576253,0.749999527034079,4.5325380567177,17,"Agriculture","EPA",0.721409823772028,"CPL"
"43",21.6060606060606,74.1347382863333,0.750000425554886,6.49831811165224,17,"Forest_Wetland","EPA",0.749575551782683,"CPL"
"44",23.6666666666667,25.7100574848275,0.647887323943662,11.8948804271124,17,"Forest_Wetland","USGS",0.858802502234138,"CPL"
"45",21.3333333333333,44,0.75,20.4558878288147,18,"Forest_Wetland","USGS",0.910318225650916,"CPL"
"46",27.3333333333333,29.8145936125286,0.609756097560976,12.3880327295245,19,"Forest_Wetland","USGS",0.848541862652869,"CPL"
"47",22.25,58.6706730769231,0.75,20.9897823691742,20,"Forest_Wetland","USGS",0.8840372226199,"CPL"
"48",19.2857142857143,52.6664274155065,0.74567797508684,12.1777442634596,21,"Agriculture","EPA",0.709389802173307,"CPL"
"49",23.2,67.5325791818921,0.749999996314197,7.24256506076239,21,"Forest_Wetland","EPA",0.737684263575658,"CPL"
"50",29,30.7514778441379,0.689655172413793,10.714851654414,21,"Forest_Wetland","USGS",0.84710351377018,"CPL"
"51",13,13,0.538461538461538,2.48896370539231,21,"Urban","EPA",0.860565110565111,"CPL"
"52",18.125,85.2841796875,0.75,27.3947965590159,22,"Agriculture","EPA",0.753141167775314,"CPL"
"53",26.1470588235294,72.5509454853181,0.74999978858553,5.74541023743203,22,"Forest_Wetland","EPA",0.873350649350649,"CPL"
"54",21.8,46.8528756283675,0.788990825688073,9.2555652071342,22,"Forest_Wetland","USGS",0.839152833428735,"CPL"
"55",18.1428571428571,56.9586689332267,0.763779527559055,9.34267874708143,22,"Urban","EPA",0.722009691405254,"CPL"
"56",27,28.9947386558237,0.654320987654321,4.42419856636325,23,"Forest_Wetland","USGS",0.782217782217782,"CPL"
"57",20,42.4102564102564,0.75,16.4259163405487,24,"Forest_Wetland","USGS",0.821854912764004,"CPL"
"58",17.6666666666667,18.7856664004214,0.735849056603774,6.2942761254359,25,"Forest_Wetland","USGS",0.85131459655485,"CPL"
"59",16.6,60.9874768246243,0.749999934812126,16.0142798882382,26,"Agriculture","EPA",0.801207165109034,"CPL"
"60",19.5333333333333,54.7331258595398,0.750000181865573,6.64531234250111,26,"Forest_Wetland","EPA",0.821338299853665,"CPL"
"61",23.5,40.5917574741512,0.735025033483951,8.65218351284056,26,"Forest_Wetland","USGS",0.779552715654952,"CPL"
"62",11.75,35.671875,0.75,15.8155052746554,26,"Urban","EPA",0.924055232558139,"CPL"
"63",18.8571428571429,74.3142857142857,0.75,17.9788680457817,27,"Agriculture","EPA",0.692258064516129,"CPL"
